# CSV-File created with merge-csv.com
# -----------------------------------------------------------

Disease,Precaution_1,Precaution_2,Precaution_3,Precaution_4,Precaution_5
sinusitis,avoid stress,avoid oily food,avoid cold drinks,use inhaler if prescribed,
insomnia,take vitamin supplements,maintain hygiene,avoid cold drinks,take prescribed medicines,
epilepsy,take prescribed medicines,wear mask,avoid contact with infected people,,
hepatitis c,avoid cold drinks,use moisturizer,drink warm fluids,maintain hygiene,use sunscreen
hepatitis c,monitor symptoms,avoid stress,avoid cold drinks,,
appendicitis,avoid cold drinks,use sunscreen,consult a doctor,,
herpes,exercise regularly,consult a doctor,sleep well,wear mask,eat healthy diet
arthritis,cover mouth while coughing,monitor symptoms,take prescribed medicines,use sunscreen,follow doctor's advice
seasonal allergy,take rest,consult a doctor,take prescribed medicines,,
eczema flare-up,avoid direct sunlight,eat healthy diet,use antiseptic cream,take paracetamol if needed,
sinusitis,sleep well,avoid contact with infected people,stay hydrated,,
appendicitis,drink warm fluids,take prescribed medicines,avoid oily food,,
ear infection,avoid stress,avoid cold drinks,wash hands frequently,maintain hygiene,use antiseptic cream
heat stroke,take rest,avoid oily food,stay hydrated,,
herpes,eat healthy diet,apply cold compress,avoid contact with infected people,,
sunburn,use sunscreen,cover mouth while coughing,avoid junk food,monitor symptoms,drink warm fluids
anxiety,take rest,avoid stress,follow doctor's advice,use inhaler if prescribed,
malaria,take paracetamol if needed,take rest,drink warm fluids,avoid direct sunlight,exercise regularly
parkinson's disease,use sunscreen,avoid direct sunlight,take prescribed medicines,,
appendicitis,use moisturizer,eat healthy diet,avoid cold drinks,consult a doctor,
crohn's disease,use sunscreen,sleep well,avoid oily food,wash hands frequently,
constipation,sleep well,use moisturizer,take paracetamol if needed,,
leukemia,cover mouth while coughing,take vitamin supplements,follow doctor's advice,,
conjunctivitis,avoid contact with infected people,use moisturizer,avoid stress,take rest,
allergy,stay hydrated,exercise regularly,consult a doctor,wash hands frequently,
ulcer,consult a doctor,use antiseptic cream,wear mask,take paracetamol if needed,
chronic cough,sleep well,cover mouth while coughing,take vitamin supplements,wash hands frequently,follow doctor's advice
typhoid,monitor symptoms,eat healthy diet,take paracetamol if needed,,
colon cancer,stay hydrated,avoid oily food,avoid contact with infected people,take rest,apply cold compress
sleep apnea,drink warm fluids,monitor symptoms,eat healthy diet,stay hydrated,cover mouth while coughing
cold,monitor symptoms,eat healthy diet,sleep well,,
jaundice,avoid direct sunlight,stay hydrated,apply cold compress,take vitamin supplements,avoid cold drinks
crohn's disease,wash hands frequently,follow doctor's advice,use inhaler if prescribed,exercise regularly,use moisturizer
gastric ulcer,avoid direct sunlight,take paracetamol if needed,use moisturizer,avoid stress,follow doctor's advice
eye infection,use antiseptic cream,eat healthy diet,maintain hygiene,,
cervical cancer,avoid junk food,cover mouth while coughing,avoid contact with infected people,take vitamin supplements,
celiac disease,use antiseptic cream,sleep well,stay hydrated,use sunscreen,
irritable bowel syndrome,stay hydrated,use antiseptic cream,avoid oily food,,
obesity,use antiseptic cream,use moisturizer,apply cold compress,cover mouth while coughing,avoid cold drinks
cold,avoid junk food,wash hands frequently,use inhaler if prescribed,eat healthy diet,use sunscreen
crohn's disease,avoid contact with infected people,apply cold compress,use antiseptic cream,drink warm fluids,
herpes,use antiseptic cream,sleep well,avoid direct sunlight,use sunscreen,
hepatitis b,avoid junk food,take paracetamol if needed,drink warm fluids,,
hypertension,use inhaler if prescribed,avoid contact with infected people,avoid cold drinks,,
scabies,take paracetamol if needed,eat healthy diet,drink warm fluids,maintain hygiene,avoid contact with infected people
depression,avoid cold drinks,avoid stress,use inhaler if prescribed,use sunscreen,follow doctor's advice
ulcerative colitis,use antiseptic cream,drink warm fluids,exercise regularly,monitor symptoms,
frostbite,use antiseptic cream,take vitamin supplements,take prescribed medicines,wear mask,apply cold compress
food poisoning,take vitamin supplements,use antiseptic cream,avoid direct sunlight,use inhaler if prescribed,wear mask
dehydration,exercise regularly,sleep well,stay hydrated,monitor symptoms,
kidney stone,maintain hygiene,wash hands frequently,avoid junk food,drink warm fluids,take rest
skin cancer,cover mouth while coughing,avoid cold drinks,consult a doctor,avoid junk food,
migraine attack,avoid junk food,exercise regularly,follow doctor's advice,avoid direct sunlight,wash hands frequently
stomach cancer,use sunscreen,take prescribed medicines,take paracetamol if needed,avoid direct sunlight,
panic disorder,apply cold compress,cover mouth while coughing,avoid direct sunlight,,
cervical cancer,avoid stress,drink warm fluids,avoid direct sunlight,use inhaler if prescribed,take rest
bacterial infection,avoid oily food,use moisturizer,monitor symptoms,apply cold compress,wear mask
anxiety,use antiseptic cream,avoid junk food,avoid contact with infected people,wear mask,
piles,sleep well,take vitamin supplements,use moisturizer,,
conjunctivitis,eat healthy diet,use antiseptic cream,avoid cold drinks,take paracetamol if needed,maintain hygiene
sore throat,wash hands frequently,take vitamin supplements,use antiseptic cream,,
eye infection,avoid stress,consult a doctor,take prescribed medicines,,
eczema flare-up,consult a doctor,stay hydrated,wash hands frequently,wear mask,
heart disease,use moisturizer,take prescribed medicines,stay hydrated,avoid contact with infected people,avoid cold drinks
encephalitis,consult a doctor,maintain hygiene,avoid stress,take paracetamol if needed,
sunburn,wash hands frequently,take prescribed medicines,take rest,,
gum disease,follow doctor's advice,take rest,eat healthy diet,,
scabies,monitor symptoms,use inhaler if prescribed,avoid stress,cover mouth while coughing,
chronic fatigue,use inhaler if prescribed,consult a doctor,exercise regularly,avoid junk food,maintain hygiene
tonsillitis,use sunscreen,wash hands frequently,avoid direct sunlight,avoid cold drinks,
breast cancer,avoid stress,take rest,follow doctor's advice,,
psoriasis,eat healthy diet,avoid direct sunlight,use inhaler if prescribed,take prescribed medicines,
meningitis,take paracetamol if needed,use moisturizer,avoid contact with infected people,avoid direct sunlight,
celiac disease,consult a doctor,avoid contact with infected people,avoid direct sunlight,follow doctor's advice,take rest
kidney stone,avoid stress,monitor symptoms,avoid cold drinks,maintain hygiene,
stroke,use inhaler if prescribed,use sunscreen,avoid stress,cover mouth while coughing,
sore throat,maintain hygiene,exercise regularly,avoid contact with infected people,avoid cold drinks,
leukemia,wear mask,use antiseptic cream,use inhaler if prescribed,,
migraine,take prescribed medicines,consult a doctor,eat healthy diet,wear mask,stay hydrated
chronic bronchitis,consult a doctor,use inhaler if prescribed,use moisturizer,take paracetamol if needed,
chronic cough,take rest,follow doctor's advice,use sunscreen,stay hydrated,
crohn's disease,use inhaler if prescribed,sleep well,avoid junk food,,
adhd,avoid direct sunlight,wash hands frequently,consult a doctor,wear mask,
skin cancer,wear mask,sleep well,eat healthy diet,monitor symptoms,
urinary tract infection,maintain hygiene,avoid cold drinks,stay hydrated,cover mouth while coughing,
chronic bronchitis,consult a doctor,wash hands frequently,take prescribed medicines,,
scabies,avoid direct sunlight,wear mask,cover mouth while coughing,avoid stress,
migraine,consult a doctor,cover mouth while coughing,avoid cold drinks,avoid junk food,
heat stroke,wear mask,take prescribed medicines,monitor symptoms,,
sunburn,wear mask,drink warm fluids,sleep well,take rest,
gallstones,use inhaler if prescribed,avoid junk food,avoid stress,sleep well,take paracetamol if needed
jaundice,cover mouth while coughing,use antiseptic cream,avoid cold drinks,wear mask,
gum disease,avoid cold drinks,take rest,monitor symptoms,apply cold compress,sleep well
asthma,avoid cold drinks,sleep well,avoid contact with infected people,,
breast cancer,use antiseptic cream,take vitamin supplements,cover mouth while coughing,,
bronchial asthma,sleep well,take vitamin supplements,stay hydrated,monitor symptoms,
gastritis,consult a doctor,take vitamin supplements,take paracetamol if needed,,
stomach cancer,apply cold compress,sleep well,stay hydrated,avoid cold drinks,
hepatitis,avoid cold drinks,drink warm fluids,sleep well,cover mouth while coughing,avoid direct sunlight
encephalitis,avoid stress,avoid cold drinks,stay hydrated,,
conjunctivitis,take vitamin supplements,use moisturizer,eat healthy diet,,
psoriasis,take vitamin supplements,maintain hygiene,avoid cold drinks,avoid stress,avoid contact with infected people
cervical cancer,cover mouth while coughing,eat healthy diet,use antiseptic cream,,
tonsillitis,exercise regularly,cover mouth while coughing,avoid stress,,
hypertension,eat healthy diet,stay hydrated,follow doctor's advice,use sunscreen,
leukemia,take prescribed medicines,avoid oily food,use antiseptic cream,follow doctor's advice,use sunscreen
panic disorder,take paracetamol if needed,take prescribed medicines,avoid direct sunlight,use moisturizer,cover mouth while coughing
pneumonia,cover mouth while coughing,use moisturizer,exercise regularly,consult a doctor,drink warm fluids
sinusitis,exercise regularly,sleep well,avoid junk food,avoid contact with infected people,
gastric ulcer,eat healthy diet,maintain hygiene,avoid junk food,,
flu,monitor symptoms,use inhaler if prescribed,maintain hygiene,,
celiac disease,drink warm fluids,maintain hygiene,use antiseptic cream,,
sore throat,wash hands frequently,exercise regularly,stay hydrated,avoid oily food,consult a doctor
typhoid,wear mask,use sunscreen,avoid contact with infected people,,
bronchial asthma,avoid oily food,wash hands frequently,use antiseptic cream,use moisturizer,
ulcer,follow doctor's advice,avoid junk food,wash hands frequently,use sunscreen,exercise regularly
hepatitis c,follow doctor's advice,use inhaler if prescribed,use moisturizer,wash hands frequently,
parkinson's disease,avoid junk food,exercise regularly,avoid oily food,,
cervical cancer,apply cold compress,take prescribed medicines,avoid stress,take vitamin supplements,wash hands frequently
tonsillitis,avoid stress,wear mask,avoid direct sunlight,,
pneumonia,drink warm fluids,exercise regularly,use moisturizer,cover mouth while coughing,use inhaler if prescribed
heat stroke,wash hands frequently,follow doctor's advice,exercise regularly,,
hepatitis b,use inhaler if prescribed,avoid contact with infected people,drink warm fluids,cover mouth while coughing,wear mask
gallstones,use antiseptic cream,avoid contact with infected people,wear mask,avoid direct sunlight,avoid cold drinks
eye infection,eat healthy diet,exercise regularly,monitor symptoms,avoid junk food,avoid contact with infected people
urinary tract infection,take paracetamol if needed,exercise regularly,use sunscreen,use antiseptic cream,wear mask
panic disorder,take prescribed medicines,drink warm fluids,monitor symptoms,sleep well,avoid direct sunlight
jaundice,avoid oily food,take prescribed medicines,use inhaler if prescribed,wash hands frequently,maintain hygiene
heat stroke,eat healthy diet,avoid stress,avoid contact with infected people,monitor symptoms,cover mouth while coughing
frostbite,use inhaler if prescribed,cover mouth while coughing,avoid junk food,eat healthy diet,
tuberculosis,use antiseptic cream,sleep well,monitor symptoms,take rest,avoid direct sunlight
ulcer,use antiseptic cream,drink warm fluids,use moisturizer,,
cervical cancer,wear mask,avoid cold drinks,take paracetamol if needed,eat healthy diet,
jaundice,wash hands frequently,avoid oily food,apply cold compress,avoid contact with infected people,cover mouth while coughing
lung cancer,avoid contact with infected people,use sunscreen,avoid oily food,take vitamin supplements,wear mask
heart disease,use inhaler if prescribed,avoid direct sunlight,stay hydrated,wear mask,avoid oily food
Drug Reaction,stop irritation,consult nearest hospital,stop taking drug,follow up
Malaria,Consult nearest hospital,avoid oily food,avoid non veg food,keep mosquitos out
Flu,Take rest,Drink plenty of fluids,Cover mouth while sneezing
Allergy,apply calamine,cover area with bandage,,use ice to compress itching
Hypothyroidism,reduce stress,exercise,eat healthy,get proper sleep
Psoriasis,wash hands with warm soapy water,stop bleeding using pressure,consult doctor,salt baths
GERD,avoid fatty spicy food,avoid lying down after eating,maintain healthy weight,exercise
Chronic cholestasis,cold baths,anti itch medicine,consult doctor,eat healthy
hepatitis A,Consult nearest hospital,wash hands through,avoid fatty spicy food,medication
Osteoarthristis,acetaminophen,consult nearest hospital,follow up,salt baths
(vertigo) Paroymsal  Positional Vertigo,lie down,avoid sudden change in body,avoid abrupt head movment,relax
Hypoglycemia,lie down on side,check in pulse,drink sugary drinks,consult doctor
Acne,bath twice,avoid fatty spicy food,drink plenty of water,avoid too many products
Diabetes ,have balanced diet,exercise,consult doctor,follow up
Impetigo,soak affected area in warm water,use antibiotics,remove scabs with wet compressed cloth,consult doctor
Hypertension ,meditation,salt baths,reduce stress,get proper sleep
Peptic ulcer diseae,avoid fatty spicy food,consume probiotic food,eliminate milk,limit alcohol
Dimorphic hemmorhoids(piles),avoid fatty spicy food,consume witch hazel,warm bath with epsom salt,consume alovera juice
Common Cold,drink vitamin c rich drinks,take vapour,avoid cold food,keep fever in check
Chicken pox,use neem in bathing ,consume neem leaves,take vaccine,avoid public places
Cervical spondylosis,use heating pad or cold pack,exercise,take otc pain reliver,consult doctor
Hyperthyroidism,eat healthy,massage,use lemon balm,take radioactive iodine treatment
Urinary tract infection,drink plenty of water,increase vitamin c intake,drink cranberry juice,take probiotics
Varicose veins,lie down flat and raise the leg high,use oinments,use vein compression,dont stand still for long
AIDS,avoid open cuts,wear ppe if possible,consult doctor,follow up
Paralysis (brain hemorrhage),massage,eat healthy,exercise,consult doctor
Typhoid,eat high calorie vegitables,antiboitic therapy,consult doctor,medication
Hepatitis B,consult nearest hospital,vaccination,eat healthy,medication
Fungal infection,bath twice,use detol or neem in bathing water,keep infected area dry,use clean cloths
Hepatitis C,Consult nearest hospital,vaccination,eat healthy,medication
Migraine,meditation,reduce stress,use poloroid glasses in sun,consult doctor
Bronchial Asthma,switch to loose cloothing,take deep breaths,get away from trigger,seek help
Alcoholic hepatitis,stop alcohol consumption,consult doctor,medication,follow up
Jaundice,drink plenty of water,consume milk thistle,eat fruits and high fiberous food,medication
Hepatitis E,stop alcohol consumption,rest,consult doctor,medication
Dengue,drink papaya leaf juice,avoid fatty spicy food,keep mosquitos away,keep hydrated
Hepatitis D,consult doctor,medication,eat healthy,follow up
Heart attack,call ambulance,chew or swallow asprin,keep calm,
Pneumonia,consult doctor,medication,rest,follow up
Arthritis,exercise,use hot and cold therapy,try acupuncture,massage
Gastroenteritis,stop eating solid food for while,try taking small sips of water,rest,ease back into eating
Tuberculosis,cover mouth,consult doctor,medication,rest
